videoID,timeadjusted,originalsamples,adjustedsamples,start_time_analysiswindow,end_time_analysiswindow,perc_twopersonsdetected,average_com_movementp1,average_com_movementp2,smoothness_distancecom,SPARC_smoothness_distancecom,smoothness_distancecentroid,smoothness_xy_average_com_p1,smoothness_xy_average_com_p2,smoothness_xy_average_centroid_p1,smoothness_xy_average_centroid_p2,smoothness_p1_proximity,smoothness_p2_proximity
cop_y08_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7539,3001,0,100,0.9668391033293541,16.914195766384537,24.913088670390906,42.689647068468545,-675.4927230484401,41.24406333859611,40.82086627349784,42.07429619723073,38.26679565252785,38.18646081029593,39.66346998938248,40.4974507402745
cop_y09,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6910,3001,0,100,0.9891461649782923,36.00643640779946,85.64538440917441,42.320851708598624,-813.512545628679,38.521359170290175,38.955380138371495,43.39181653018251,38.55763615312779,39.000013210661955,41.83022218984548,42.714157625084816
cop_y09_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6910,3001,0,100,0.9868306801736614,40.404640239660026,91.59521745419526,39.940231841770704,-802.8779876484753,39.14240364122651,39.56040466717054,39.61070320234529,39.210181447071086,39.39840161783265,40.586658364171946,42.48014326139316
cop_y10,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",3030,3001,0,100,0.9666666666666667,64.66776411622776,124.55511227226062,38.5886679087942,-819.1986007527745,41.48023262277612,40.814009687048305,39.6249772273506,40.611648054363314,42.92147496403467,40.566612084262935,38.171150495815645
cop_y10_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",3030,3001,0,100,0.9544554455445544,61.77612756093439,135.60003889874616,38.808191936094566,-809.6013564910573,40.625720882626055,40.80738245608914,39.89143884043233,40.76923840978934,41.79055408393497,44.12282293959916,37.94571904595355
point_10_1_kam_5_chair,TRUE - Adjusted to start at + 52.0With a window length of: 100 seconds,25455,5001,52.0,152.0,0.8670988018071106,13.876329667026932,36.111800189977714,41.67544899860134,-1176.3755981766553,40.04914888268432,43.152097761114575,42.2294552813606,40.1940090414667,43.08652302877667,44.33745784242447,41.31018056723253
point_10_2_kam_5_chair,TRUE - Adjusted to start at + 23.0With a window length of: 100 seconds,23488,5001,23.0,123.0,0.8772138964577657,22.124657903115295,46.76826074198743,42.2748384730337,-1595.0666651822432,42.12683946375459,45.92434912616561,43.15587889362478,46.61119163452703,43.336930162478964,47.0667909482336,42.479980653060146
point_10_3_kam_5_chair,TRUE - Adjusted to start at + 15.5With a window length of: 100 seconds,35150,5001,15.5,115.5,0.9034139402560455,21.895776914097073,51.822992751571604,43.219969689090064,-1339.322210846479,45.41572040089373,45.93634749685419,41.84563267712187,44.60660312321569,41.28325448807246,40.80687397007295,42.177776500237
point_10_4_kam_5_chair,TRUE - Adjusted to start at + 9.0With a window length of: 100 seconds,21532,5001,9.0,109.0,0.9348876091398848,21.836900098673446,50.76089656462343,41.95952131366044,-1287.0672599391567,44.57373312622151,45.22986566411647,42.170639424566595,44.83353968324465,45.10966404975765,43.39364506748956,42.34867674415513
point_10_5_kam_5_chair,TRUE - Adjusted to start at + 9.0With a window length of: 100 seconds,29925,5001,9.0,109.0,0.9207351712614871,18.148072478340225,34.58199025365205,44.77307948347063,-1234.7436938335527,40.050189255778456,44.58640533875899,45.071057429520636,40.46341387718579,45.07663816181686,46.558871379328075,43.91756096011636
point_10_6_kam_5_chair,TRUE - Adjusted to start at + 16.0With a window length of: 100 seconds,23705,5001,16.0,116.0,0.8533642691415313,24.89756018396877,43.411435416672155,40.396914416709386,-1397.4912983221866,40.74624262045244,41.22730268894661,40.35976119155617,40.7003837361197,44.016555987829015,46.00852714380538,39.51374165019171
point_10_7_kam_5_chair,TRUE - Adjusted to start at + 5.0With a window length of: 100 seconds,29170,5001,5.0,105.0,0.9208776139869729,20.48717931140137,37.38287575994647,41.32615264143911,-1233.966452287205,49.21100506994313,43.847824592565715,38.99577050952001,41.713685573726224,38.21856275989465,41.100539319801065,38.46865041682743
point_11_1_kam_5_chair,TRUE - Adjusted to start at + 13.0With a window length of: 100 seconds,19956,5001,13.0,113.0,0.9323511725796753,23.42522306712868,44.905612473796175,41.65160834478989,-869.86410895972,39.444643357056385,42.29822719414869,40.67513779816724,41.48495955403213,39.26290999034112,50.08654431821979,40.40144881220311
